Unnamed: 0|trans_date_trans_time|cc_num|merchant|category|amt|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|trans_num|merch_lat|merch_long|is_fraud|merch_zipcode|merch_last_update_time|merch_eff_time|cc_bic
10|2019-01-01 00:06:23+08:00|464289###0163|Rutherford-Mertz|grocery_pos|24.74|Eddie|Mendez|M|1831 Faith View Suite 653|Clarinda|IA|51632|40.7491|-95.038|7297|IT trainer|1990-07-13|d71c95ab6b7356dd74389d41df429c87|40.275890999999994|-96.011548|0|68348|2012-01-01 00:06:23+08:00|2012-01-01 00:06:23+08:00|""
11|2019-01-01 00:06:53+08:00|377234#####3447|Kerluke-Abshire|shopping_net|7.77|Theresa|Blackwell|F|43576 Kristina Islands|Shenandoah Junction|WV|25442|39.3716|-77.8229|1925|Systems developer|1966-02-14|3c74776e558f1499a7824b556e474b1d|40.103866|-78.624459|0|15554|2012-01-01 00:06:53+08:00|2012-01-01 00:06:53+08:00|DEUTUS33TRF
12|2019-01-01 00:06:56+08:00|180042#####1150|Lockman Ltd|grocery_pos|71.22|Charles|Robles|M|3337 Lisa Divide|Saint Petersburg|FL|33710|27.7898|-82.7243|341043|Engineer, land|1989-02-28|c1d9a7ddb1e34639fe82758de97f4abf|27.630593|-82.308891|0|33598|2012-01-01 00:06:56+08:00|2012-01-01 00:06:56+08:00|DEUTUS33TRF
13|2019-01-01 00:07:27+08:00|555985######5248|Kiehn Inc|grocery_pos|96.29|Jack|Hill|M|5916 Susan Bridge Apt. 939|Grenada|CA|96038|41.6125|-122.5258|589|Systems analyst|1945-12-21|413636e759663f264aae1819a4d4f231|41.65752|-122.230347|0|""|2012-01-01 00:07:27+08:00|2012-01-01 00:07:27+08:00|ACEEUS31
14|2019-01-01 00:09:03+08:00|351486######4695|Beier-Hyatt|shopping_pos|7.77|Christopher|Castaneda|M|1632 Cohen Drive Suite 639|High Rolls Mountain Park|NM|88325|32.9396|-105.8189|899|Naval architect|1967-08-30|8a6293af5ed278dea14448ded2685fea|32.863258|-106.520205|0|""|2012-01-01 00:09:03+08:00|2012-01-01 00:09:03+08:00|ACEEUS31
15|2019-01-01 00:09:20+08:00|601199######5827|Schmidt and Sons|shopping_net|3.26|Ronald|Carson|M|870 Rocha Drive|Harrington Park|NJ|7640|40.9918|-73.98|4664|Radiographer, diagnostic|1965-06-30|baae0b096835c975857eea7e28dde3dc|41.831174|-74.335559|0|12446|2012-01-01 00:09:20+08:00|2012-01-01 00:09:20+08:00|CITIUS33CHI
16|2019-01-01 00:10:49+08:00|601186######7910|Lebsack and Sons|misc_net|327.00|Lisa|Mendez|F|44259 Beth Station Suite 215|Lahoma|OK|73754|36.385|-98.0727|1078|Programme researcher, broadcasting/film/video|1952-07-06|991c04803b4d4eeab30d6245a872e3d3|36.384091999999995|-99.048472|0|73852|2012-01-01 00:10:49+08:00|2012-01-01 00:10:49+08:00|CITIUS33CHI
17|2019-01-01 00:10:58+08:00|356542######6143|Mayert Group|shopping_pos|341.67|Nathan|Thomas|M|4923 Campbell Pines Suite 717|Carlisle|IN|47838|38.9763|-87.3667|4081|Energy engineer|1938-03-15|f12cf52be2175703db789a4644c32f25|38.674491|-88.305767|0|62824|2012-01-01 00:10:58+08:00|2012-01-01 00:10:58+08:00|""
18|2019-01-01 00:11:14+08:00|234824######6329|Konopelski, Schneider and Hartmann|food_dining|63.07|Justin|Gay|M|268 Hayes Rue Suite 811|Harborcreek|PA|16421|42.1767|-79.9416|2518|Event organiser|1946-02-02|8500f3d459047eac8443307b1e8296e5|41.430274|-79.492553|0|16364|2012-01-01 00:11:14+08:00|2012-01-01 00:11:14+08:00|APBCUS61
19|2019-01-01 00:12:34+08:00|495682#########1019|Schultz, Simonis and Little|grocery_pos|44.71|Kenneth|""|M|269 Sanchez Rapids|Elizabeth|NJ|7208|40.6747|-74.2239|124967|Operational researcher|1980-12-21|09eff9c806365e2a6be12c1bbab3d70e|40.079588|-74.84808699999999|0|08016|2012-01-01 00:12:34+08:00|2012-01-01 00:12:34+08:00|""
20|2019-01-01 00:13:08+08:00|446977#########4880|Bauch-Raynor|grocery_pos|57.34|Gregory|Graham|M|4005 Dana Glens|Methuen|MA|1844|42.728|-71.181|47249|Market researcher|1980-11-22|139a1bee15be607d79fe173bfcb2502a|42.26876|-71.217297|0|02492|2012-01-01 00:13:08+08:00|2012-01-01 00:13:08+08:00|ADMDUS41
21|2019-01-01 00:14:37+08:00|230533######1618|Harris Inc|gas_transport|50.79|Jeffrey|Rice|M|21447 Powell Circle|Moulton|IA|52572|40.6866|-92.6833|1132|Probation officer|1961-02-14|b9c4615bec3561c8e83b0c1d6c7028e2|40.18893|-91.955115|0|63446|2012-01-01 00:14:37+08:00|2012-01-01 00:14:37+08:00|""
22|2019-01-01 00:17:16+08:00|180048#####7117|Kling-Grant|grocery_net|46.28|Mary|Wall|F|2481 Mills Lock|Plainfield|NJ|7060|40.6152|-74.415|71485|Leisure centre manager|1974-07-19|19e23c6a300c774354417befe4f31f8c|40.021888|-74.228188|0|08755|2012-01-01 00:17:16+08:00|2012-01-01 00:17:16+08:00|DEUTUS33TRF
23|2019-01-01 00:17:40+08:00|630441##5090|Pacocha-Bauch|shopping_pos|9.55|Susan|""|F|759 Erin Mount Suite 956|May|TX|76857|31.9571|-98.9656|1791|Corporate investment banker|1965-07-26|c4b4daebab8be54cadde4b941244ca53|31.62635|-98.610225|0|76870|2012-01-01 00:17:40+08:00|2012-01-01 00:17:40+08:00|APBCUS61
24|2019-01-01 00:18:06+08:00|442878#########7331|Lesch Ltd|shopping_pos|22.95|Richard|Waters|M|7683 Natasha Way Apt. 945|Waukesha|WI|53186|42.9993|-88.2196|95015|Therapist, occupational|1946-01-02|d2432bfeabf142dc1bae1d426e32aecc|43.375041|-89.055065|0|53932|2012-01-01 00:18:06+08:00|2012-01-01 00:18:06+08:00|DEUTUS33TRF
25|2019-01-01 00:18:07+08:00|343464#####4032|Kunde-Sanford|misc_net|2.55|Jodi|Foster|F|551 Zachary Freeway|Bailey|NC|27807|35.8072|-78.0892|6629|Call centre manager|1962-08-13|abe0676c18f34fa305b113fa762e29b5|36.74987|-78.67787|0|23964|2012-01-01 00:18:07+08:00|2012-01-01 00:18:07+08:00|""
26|2019-01-01 00:20:15+08:00|374930#####3758|Deckow-O'Conner|grocery_pos|64.09|Daniel|Escobar|M|61390 Hayes Port|Romulus|MI|48174|42.2203|-83.3583|31515|Police officer|1971-11-05|6f363661ba6b55889e488dd178f2a0af|42.360426|-83.552316|0|48168|2012-01-01 00:20:15+08:00|2012-01-01 00:20:15+08:00|DEUTUS33TRF
27|2019-01-01 00:21:32+08:00|433423######4630|Bruen-Yost|misc_pos|6.85|Scott|Martin|M|7483 Navarro Flats|Freedom|WY|83120|43.0172|-111.0292|471|Education officer, museum|1967-08-02|f3c43d336e92a44fc2fb67058d5949e3|43.753735|-111.454923|0|83436|2012-01-01 00:21:32+08:00|2012-01-01 00:21:32+08:00|AIABUS31
28|2019-01-01 00:22:06+08:00|422599#########2579|Kunze Inc|grocery_pos|90.22|Brian|Simpson|M|2711 Duran Pines|Honokaa|HI|96727|20.0827|-155.488|4878|Physiotherapist|1966-12-03|95826e3caa9e0b905294c6dae985aec1|19.560013|-156.045889|0|96740|2012-01-01 00:22:06+08:00|2012-01-01 00:22:06+08:00|""
29|2019-01-01 00:22:18+08:00|426005######4237|Nitzsche, Kessler and Wolff|shopping_pos|4.02|Aaron|Rogers|M|969 Huerta Path Apt. 270|Valentine|NE|69201|42.8062|-100.6215|4005|Network engineer|1945-03-15|20490f3f0966ce74b4aaba8dc2c4ed52|42.47559|-101.265846|0|""|2012-01-01 00:22:18+08:00|2012-01-01 00:22:18+08:00|DEUTUS33TRF
30|2019-01-01 00:22:36+08:00|180094#####5855|Kihn, Abernathy and Douglas|shopping_net|3.66|Tammie|Harper|F|57887 Gutierrez Harbor|Westfir|OR|97492|43.7575|-122.481|597|Forensic psychologist|1961-05-19|870c92b288a974a2faf1f24b05c27e33|44.278191|-121.815161|0|""|2012-01-01 00:22:36+08:00|2012-01-01 00:22:36+08:00|APBCUS61
31|2019-01-01 00:22:39+08:00|459973#########5080|Heller, Gutmann and Zieme|grocery_pos|82.80|Mary|Myers|F|39787 Pamela Fall Suite 639|Tiptonville|TN|38079|36.3846|-89.4649|5577|Geochemist|1964-12-30|cb598ec00d349dc95e7b3c18de5ae800|36.294205|-89.81128199999999|0|63879|2012-01-01 00:22:39+08:00|2012-01-01 00:22:39+08:00|ACEEUS31
32|2019-01-01 00:22:44+08:00|630412##3309|Torphy-Goyette|shopping_pos|66.21|Heather|Stanton|F|445 Jerry Lights Apt. 081|Republic|MI|49879|46.368|-87.9938|1038|Armed forces training and education officer|1964-04-22|20f048d3907dbb9978e23bee7b7578ce|46.412038|-88.516663|0|49919|2012-01-01 00:22:44+08:00|2012-01-01 00:22:44+08:00|ADMDUS41
33|2019-01-01 00:23:41+08:00|271220######3386|Balistreri-Nader|misc_pos|25.58|Jenna|Brooks|F|50872 Alex Plain Suite 088|Baton Rouge|LA|70808|30.4066|-91.1468|378909|Designer, furniture|1977-02-22|1654da2abfb9e79a5f99167fc9779558|29.737426|-90.853194|0|70395|2012-01-01 00:23:41+08:00|2012-01-01 00:23:41+08:00|DEUTUS33TRF
34|2019-01-01 00:23:58+08:00|374125#####4065|Bahringer, Schoen and Corkery|shopping_pos|9.03|Christopher|Gilbert|M|20937 Reed Lakes Apt. 271|Washington|DC|20012|38.9757|-77.0282|601723|Optician, dispensing|1970-07-20|c733711c521c41c578f4a964d8350df0|38.880897999999995|-76.44111600000001|0|21037|2012-01-01 00:23:58+08:00|2012-01-01 00:23:58+08:00|""
35|2019-01-01 00:25:46+08:00|349612#####3496|Hudson-Ratke|grocery_pos|99.00|Xavier|""|M|61107 Edwards Dam Apt. 463|Big Creek|KY|40914|37.1046|-83.5706|467|Psychologist, forensic|1984-06-04|7e2f9596cb3a3595ece15611ee338e5c|36.823545|-83.90104000000001|0|40906|2012-01-01 00:25:46+08:00|2012-01-01 00:25:46+08:00|""
36|2019-01-01 00:26:22+08:00|359821######4754|Heidenreich PLC|grocery_pos|207.36|Ashley|Lopez|F|9333 Valentine Point|Bellmore|NY|11710|40.6729|-73.5365|34496|Librarian, public|1970-10-21|f246ac27c09429ff1e385d4683c79c4d|40.202538|-73.859212|0|07720|2012-01-01 00:26:22+08:00|2012-01-01 00:26:22+08:00|""
37|2019-01-01 00:27:45+08:00|213141#####4544|Halvorson Group|misc_pos|181.35|Margaret|Curtis|F|742 Oneill Shore|Florence|MS|39073|32.153|-90.1217|19685|Fine artist|1984-12-24|7bb25a43205191eb7344282b88fc54d3|31.939812|-90.726209|0|39086|2012-01-01 00:27:45+08:00|2012-01-01 00:27:45+08:00|APBCUS61
38|2019-01-01 00:27:56+08:00|305612####8470|Harber Inc|gas_transport|82.22|Gina|Morrison|F|41851 Victor Drives Suite 219|Allentown|PA|18103|40.5891|-75.4645|166081|Scientist, research (maths)|1998-10-01|61bcb858dd5c8e2d0d46d02b4fa0bf8e|40.586238|-75.802249|0|19529|2012-01-01 00:27:56+08:00|2012-01-01 00:27:56+08:00|CITIUS33CHI
39|2019-01-01 00:29:11+08:00|478991######9723|Mosciski, Gislason and Mertz|grocery_pos|221.81|Dorothy|Zuniga|F|77321 Ford Via|Moriches|NY|11955|40.8095|-72.8229|3285|Research officer, trade union|1988-04-27|a8394c3e555166ce2f90eee628bd9ade|40.011959|-72.594808|0|""|2012-01-01 00:29:11+08:00|2012-01-01 00:29:11+08:00|ACEEUS31
40|2019-01-01 00:30:49+08:00|676372##4911|Christiansen, Goyette and Schamberger|gas_transport|53.60|Vicki|Mendoza|F|3645 Atkins Island Apt. 238|Esbon|KS|66941|39.7562|-98.4462|242|Tourism officer|1987-07-18|f1566e9623814dd277dfa2a9bf83ea36|40.332519|-99.062962|0|68947|2012-01-01 00:30:49+08:00|2012-01-01 00:30:49+08:00|""
41|2019-01-01 00:31:01+08:00|300114####9817|Howe Ltd|misc_pos|54.02|Lisa|Garcia|F|213 Gill Expressway|Chatham|NY|12037|42.3496|-73.5873|4015|Human resources officer|1971-10-14|8d11abad6bc3501f9994f061e3a5b730|42.041783|-73.076424|0|06021|2012-01-01 00:31:01+08:00|2012-01-01 00:31:01+08:00|AIABUS31
42|2019-01-01 00:31:51+08:00|464225######5942|Ledner-Pfannerstill|gas_transport|102.13|Sabrina|Johnson|F|320 Nicholson Orchard|Thompson|UT|84540|38.9999|-109.615|46|Surveyor, minerals|1987-04-23|47238da5b40d126c8abea40a857c7809|39.807313|-109.348294|0|""|2012-01-01 00:31:51+08:00|2012-01-01 00:31:51+08:00|CITIUS33CHI
43|2019-01-01 00:32:15+08:00|300746####0476|Lockman Ltd|grocery_pos|212.75|Kelsey|Richards|F|889 Sarah Station Suite 624|Holcomb|KS|67851|37.9931|-100.9893|2691|Arboriculturist|1993-08-16|d9dcde500bed2cad48ee41e44c362596|38.862183|-101.234087|0|""|2012-01-01 00:32:15+08:00|2012-01-01 00:32:15+08:00|CITIUS33CHI
44|2019-01-01 00:32:15+08:00|180067#####5096|Koepp-Witting|grocery_pos|130.40|Mary|Juarez|F|35440 Ryan Islands|North Prairie|WI|53153|42.9385|-88.395|2328|Applications developer|1942-01-06|14a6e29ac65424550ea7e7c9f551dbb8|42.236269|-88.397336|0|60014|2012-01-01 00:32:15+08:00|2012-01-01 00:32:15+08:00|ADMDUS41
45|2019-01-01 00:32:47+08:00|213126#####7660|Doyle Ltd|grocery_pos|91.16|Christopher|Luna|M|242 Brian Mountain|Laredo|TX|78040|27.5155|-99.4986|248858|Video editor|1971-01-28|685bcca9eb5ce554134d7242d564ecc9|27.588953000000004|-99.816911|0|""|2012-01-01 00:32:47+08:00|2012-01-01 00:32:47+08:00|AIABUS31
46|2019-01-01 00:33:51+08:00|226673######5262|Schaefer, Maggio and Daugherty|gas_transport|55.78|Carlos|""|M|8957 Russell Key|Grant|AL|35747|34.4959|-86.259|5901|Curator|1972-07-25|392529cae1f1f1647093732a8f319c50|35.255978000000006|-86.041872|0|37324|2012-01-01 00:33:51+08:00|2012-01-01 00:33:51+08:00|CITIUS33CHI
47|2019-01-01 00:34:10+08:00|355362######4918|Stracke-Lemke|grocery_pos|83.07|Sharon|""|F|7202 Jeffrey Mills|Conway|WA|98238|48.34|-122.3456|85|Research officer, political party|1984-09-01|9b7a0619dcc5c572dc134f2827ed5a6b|48.682111|-122.719904|0|98262|2012-01-01 00:34:10+08:00|2012-01-01 00:34:10+08:00|APBCUS61
48|2019-01-01 00:36:12+08:00|351105######9773|Mosciski, Ziemann and Farrell|shopping_net|4.38|Briana|Santos|F|702 Tabitha Drive|New Goshen|IN|47863|39.5803|-87.4616|205|Engineer, mining|1960-01-06|f1e1ad954f49955c37b45eb71b2d1642|39.681736|-88.323862|0|61910|2012-01-01 00:36:12+08:00|2012-01-01 00:36:12+08:00|AIABUS31
49|2019-01-01 00:36:58+08:00|411026#########6127|Cartwright-Harris|grocery_pos|130.89|Sandra|""|F|3789 Mark Walks|Sunflower|MS|38778|33.5567|-90.5451|1686|Education officer, community|1986-11-06|e02fd7d82af517718f83a3f05077d435|33.595647|-90.234118|0|38930|2012-01-01 00:36:58+08:00|2012-01-01 00:36:58+08:00|ADMDUS41
50|2019-01-01 00:37:18+08:00|426577######7457|Pacocha-O'Reilly|grocery_pos|103.00|Christine|Best|F|68248 Deanna Land|Enola|AR|72047|35.2087|-92.2123|969|Physicist, medical|1954-01-05|289789e617eece42a9cafe36680b1b69|35.034285|-92.34301|0|72032|2012-01-01 00:37:18+08:00|2012-01-01 00:37:18+08:00|""
51|2019-01-01 00:39:22+08:00|358379######2580|Pfeffer LLC|grocery_net|50.82|Beth|""|F|6447 Johnson Estates Apt. 986|Roosevelt|OK|73564|34.847|-98.9836|551|Amenity horticulturist|1970-09-27|64a6d4be2510d764cbd869cd2a57a4fd|34.852665|-98.90267|0|73564|2012-01-01 00:39:22+08:00|2012-01-01 00:39:22+08:00|ADMDUS41
52|2019-01-01 00:39:37+08:00|213193#####3206|Huels-Hahn|gas_transport|60.77|James|Hunt|M|7369 Gabriel Tunnel|Pointe Aux Pins|MI|49775|45.7549|-84.447|95|Electrical engineer|1994-02-09|211c26efcb0ed5e87d4700daee23e070|45.323099|-85.11654300000001|0|49720|2012-01-01 00:39:37+08:00|2012-01-01 00:39:37+08:00|""
53|2019-01-01 00:39:43+08:00|604955#3109|Volkman PLC|food_dining|122.86|Randall|Dillon|M|4440 George Mills Suite 591|Dallas|TX|75210|32.7699|-96.743|1263321|Television camera operator|1942-11-24|7d68e49b63d845b808108fcd41c15877|32.282224|-97.46183|0|76033|2012-01-01 00:39:43+08:00|2012-01-01 00:39:43+08:00|""
54|2019-01-01 00:40:44+08:00|472583#########5730|Kiehn-Emmerich|grocery_pos|212.45|Elizabeth|Mckee|F|358 Pruitt Square|Jay|FL|32565|30.8985|-87.1332|5719|Higher education careers adviser|1994-11-05|88fde595524ba43924f36bd397b86413|31.414174|-87.138632|0|36475|2012-01-01 00:40:44+08:00|2012-01-01 00:40:44+08:00|AIABUS31
55|2019-01-01 00:40:48+08:00|304042####1692|Kemmer-Buckridge|misc_pos|7.33|Savannah|""|F|537 Walker Freeway|North Tonawanda|NY|14120|43.0498|-78.851|45100|Ambulance person|1993-10-25|01620e8ae84989a6f95581855e49da99|43.1763|-77.901777|0|14420|2012-01-01 00:40:48+08:00|2012-01-01 00:40:48+08:00|ADMDUS41
56|2019-01-01 00:40:50+08:00|213178#####3780|Cummerata-Jones|gas_transport|70.53|Shawn|King|M|31493 Garcia Summit|Athena|OR|97813|45.8289|-118.4971|1302|Dealer|1976-10-18|7b91bd200c11c5cd24b43694e12b5bbc|46.043252|-117.962133|0|""|2012-01-01 00:40:50+08:00|2012-01-01 00:40:50+08:00|ADMDUS41
57|2019-01-01 00:40:58+08:00|235627######9917|Goldner, Kovacek and Abbott|grocery_pos|58.26|Benjamin|Harris|M|0881 Lori Pines|Chester|MD|21619|38.9583|-76.2842|5848|Paediatric nurse|1981-02-15|d94f89d7360cd6bade6cf1b73d003e8f|39.240962|-76.71273199999999|0|21227|2012-01-01 00:40:58+08:00|2012-01-01 00:40:58+08:00|""
58|2019-01-01 00:41:43+08:00|356873######1727|Spinka-Welch|grocery_net|50.45|Thomas|Cross|M|7566 Thompson Creek Apt. 827|Elkhart|IA|50073|41.8114|-93.4855|1195|Trading standards officer|1974-03-13|16e0d3920a0e896a70fa54e7162165c0|41.776672999999995|-93.350689|0|50168|2012-01-01 00:41:43+08:00|2012-01-01 00:41:43+08:00|AIABUS31
59|2019-01-01 00:41:45+08:00|464225######5942|Huel-Langworth|misc_net|177.57|Sabrina|Johnson|F|320 Nicholson Orchard|Thompson|UT|84540|38.9999|-109.615|46|Surveyor, minerals|1987-04-23|048dc7fc7ae8efd51f59f7176e6a8bd7|38.419431|-109.380252|0|""|2012-01-01 00:41:45+08:00|2012-01-01 00:41:45+08:00|AIABUS31
60|2019-01-01 00:42:26+08:00|450914######1241|Macejkovic-Lesch|shopping_pos|8.57|Margaret|Williams|F|165 Jerry Meadows Suite 460|Surrency|GA|31563|31.6489|-82.1982|1324|Engineer, technical sales|1926-07-12|70ed1a189a6bce479e564b120f2379d9|32.023302|-82.58345|0|30473|2012-01-01 00:42:26+08:00|2012-01-01 00:42:26+08:00|APBCUS61
61|2019-01-01 00:43:38+08:00|354756######7873|Corwin-Collins|gas_transport|56.66|Jerry|Robinson|M|212 Mary Stream|Arcadia|MI|49613|44.5232|-86.2061|680|Designer, jewellery|1966-12-21|144d8b04f90eb30e8df105a091212d99|44.00529|-86.25199|0|49454|2012-01-01 00:43:38+08:00|2012-01-01 00:43:38+08:00|ACEEUS31
62|2019-01-01 00:44:20+08:00|443309######8503|Morar Inc|grocery_net|75.34|Linda|""|F|493 Todd Views|Gaithersburg|MD|20882|39.2335|-77.1458|135332|Clinical biochemist|1936-03-28|d6b7e57ba04fbb046f93a87301e493cb|38.817293|-77.83346800000001|0|20115|2012-01-01 00:44:20+08:00|2012-01-01 00:44:20+08:00|ACEEUS31
63|2019-01-01 00:44:43+08:00|272043######9877|Eichmann, Bogan and Rodriguez|gas_transport|62.54|Mark|Wood|M|854 Walker Dale Suite 488|Bowdoin|ME|4287|44.0575|-69.9656|3224|Engineer, electronics|1997-08-22|2eb55ba0572d67a64baaa8c463878d8c|43.585423|-70.449359|0|04072|2012-01-01 00:44:43+08:00|2012-01-01 00:44:43+08:00|""
64|2019-01-01 00:45:13+08:00|471656######5522|Huel, Hammes and Witting|grocery_pos|92.84|Lauren|Anderson|F|11014 Chad Lake Apt. 573|Heart Butte|MT|59448|48.2777|-112.8456|743|Water engineer|1972-05-04|985ebf94aa7a3beeb927d07f77f0354c|49.080153|-113.53238|0|""|2012-01-01 00:45:13+08:00|2012-01-01 00:45:13+08:00|ADMDUS41
65|2019-01-01 00:46:18+08:00|353691######4647|Ferry, Lynch and Kautzer|misc_net|2.76|Michelle|Juarez|F|44864 Melton Vista Suite 310|San Jose|CA|95148|37.3304|-121.7913|973849|Science writer|1955-06-12|70ca7fe41f09770d724a027152dcb9f0|37.548452000000005|-121.536454|0|95377|2012-01-01 00:46:18+08:00|2012-01-01 00:46:18+08:00|""
66|2019-01-01 00:47:55+08:00|352566######6629|Heathcote LLC|shopping_net|101.35|Christopher|Choi|M|04611 Sandra Spring Suite 059|Rumely|MI|49826|46.3481|-87.0436|137|Film/video editor|1990-08-13|dab9571cce549056d3c6fedc525ccf23|46.796890999999995|-86.331091|0|""|2012-01-01 00:47:55+08:00|2012-01-01 00:47:55+08:00|""
67|2019-01-01 00:48:09+08:00|470786######6333|Huel-Langworth|misc_net|303.47|Susan|Shah|F|9016 Jordan Bypass Apt. 516|Cranks|KY|40820|36.7558|-83.1838|581|Psychologist, counselling|1967-02-04|cdb332a151bdd568d98837b9e19043b8|36.394203000000005|-82.51428299999999|0|37615|2012-01-01 00:48:09+08:00|2012-01-01 00:48:09+08:00|""
68|2019-01-01 00:49:25+08:00|466631#########3145|Little, Gutmann and Lynch|shopping_net|83.52|Guy|Thompson|M|5812 Ramos Oval Suite 598|Ravenna|NE|68869|41.0233|-98.9041|2202|Solicitor, Scotland|1974-06-21|5f7aafc802c8acb5924041bca310040f|40.992141|-98.831582|0|68869|2012-01-01 00:49:25+08:00|2012-01-01 00:49:25+08:00|CITIUS33CHI
69|2019-01-01 00:49:31+08:00|224873######4816|Torphy-Goyette|shopping_pos|9.97|Jacob|""|M|29156 Mark Park Apt. 108|Utica|KS|67584|38.6411|-100.138|269|Product/process development scientist|1962-11-11|22be5ae91a9497c54279abdb4b25210d|38.075226|-99.138453|0|67529|2012-01-01 00:49:31+08:00|2012-01-01 00:49:31+08:00|ACEEUS31
70|2019-01-01 00:50:53+08:00|451282#########1773|Jaskolski-Dibbert|grocery_net|16.16|Monica|Cohen|F|864 Reynolds Plains|Uledi|PA|15484|39.8936|-79.7856|328|Tree surgeon|1983-07-25|514a1b5251ca91aeab8994cf6253f04b|39.222743|-78.839099|0|26852|2012-01-01 00:50:53+08:00|2012-01-01 00:50:53+08:00|ADMDUS41
71|2019-01-01 00:52:57+08:00|350150######2469|Hackett-Lueilwitz|grocery_pos|59.56|Frank|Anderson|M|0611 Stafford Valley Suite 504|Naples|FL|34112|26.1184|-81.7361|276002|Programme researcher, broadcasting/film/video|1979-01-02|e922037de4ac8a6bec29be758e4ce195|25.801181|-82.351291|0|""|2012-01-01 00:52:57+08:00|2012-01-01 00:52:57+08:00|AIABUS31
